指标,步数,时间(秒)
平均值,1251.39,37.57
中位数,1140.0,31.27
标准差,911.51,24.39
最小值,0.0,7.76
最大值,4566.0,141.3
50%分位数,1140.0,31.27
90%分位数,2217.6,67.82
95%分位数,2989.8,84.17
