指标,步数,时间(秒)
平均值,2081.5,127.46
中位数,1516.5,93.71
标准差,1934.25,123.81
最小值,0.0,6.85
最大值,6869.0,645.55
50%分位数,1516.5,93.71
90%分位数,5009.5,244.85
95%分位数,6423.9,349.41
